,title,price,condition,Screen Size,Color,RAM Size,SSD Capacity,Processor Speed,Brand,Maximum Resolution,Hard Drive Capacity,Storage Type,Processor_Brand,Processor_Series,Processor_Subseries,Processor_Generation,has_GPU,os_type
31,"toshiba satellite m55 s325 12.3"" (no hd, intel pentium m 740, 1.73ghz, 1gb)",0.01,used,12.3,blue,1.0,0.0,1.73,toshiba,missing,0.0,hdd + ssd,intel,centrino,,,0,no os
32,"hp elitebook 2740p 12.1"" (no hd, good lcd, intel core i5-560m, 2.67ghz, 4gb)",14.0,used,12.1,gray,4.0,0.0,2.67,hp,missing,0.0,hdd,intel,core,i5,5.0,0,no os
33,mixed lot of 5 dell latitude -(7480 / 7490)-(8gb ram / 128gb ssd)-,445.0,used,14.0,black,8.0,128.0,,dell,1920x1080,128.0,ssd,intel,core,i5,8.0,1,no os
34,hp envy 17m-ae111dx | intel core i7-8550u 1.8ghz | 256gb nvme | 16gb ram | no os,230.5,used,17.3,silver,,,1.8,hp,missing,,missing,intel,core,i7,8.0,0,no os
35,dell precision 7740 | core i7-9850h | 256gb | 8gb ram | no os/power adapter,405.99,used,17.3,missing,,,2.6,dell,missing,,missing,intel,core,i7,9.0,0,no os
36,dell inspiron 15 7559 | intel core i5-6300hq 2.30ghz | 256gb | 8gb ram | no os,200.0,used,15.6,black,,,2.3,dell,missing,,missing,intel,core,i5,6.0,0,no os
37,dell inspiron 15-3567 | core i3-7100u | 256gb | 12gb ram | no os/power adapter,92.0,used,15.6,missing,,,2.4,dell,missing,,missing,intel,core,i3,7.0,0,no os
38,hp 15-bs013dx notebook | core i3-7100u 2.40ghz | 256gb ssd | 8gb ram | no os,82.0,used,15.6,black,,,2.4,hp,missing,,missing,intel,core,i3,7.0,0,no os
39,hp zbook 15 g5 | intel core i7-8850h 2.60ghz | 256gb m.2 | 32gb ram | no os,275.0,used,15.6,gray,,,2.6,hp,missing,,missing,intel,core,i7,8.0,0,no os
40,dell inspiron 15 3511 | intel core i5-1035g1 1.00ghz | 512gb | 8gb ram | no os,167.5,used,15.6,gray,,,1.0,dell,missing,,missing,intel,core,i5,10.0,0,no os
41,hp envy x360 m6-aq105dx | core i7-7500u | 256gb ssd | no os | no power adapter,163.5,used,15.6,silver,,,2.7,hp,missing,,missing,intel,core,i7,7.0,0,no os
42,"hp elitebook 1040 g4 i7-7600u 2.8ghz, 8gb, 512gb ssd, 14"", no os",169.0,used,14.0,missing,8.0,512.0,2.8,hp,missing,,ssd,intel,core,i7,7.0,0,no os
43,"samsung syncmaster 204b 20"" lcd computer monitor-- black",39.0,used,20.0,black,,,,samsung,missing,,missing,missing,,,,0,missing
44,"dell inspiron 7500 15'' 4k touch (32gb, 1tb ssd, i7-10510u up to 4.9g, nvidia)",525.0,used,15.6,black,32.0,1000.0,1.8,dell,3840x2160,1000.0,ssd,intel,core,i7,10.0,1,windows
45,"hp zbook 15 g4 i7-7820hq 2.9ghz, 32gb, 512gb ssd, 15.6"", m2200, win 10 pro",219.0,used,15.6,missing,32.0,512.0,2.9,hp,missing,,ssd,intel,core,i7,7.0,0,windows
46,hp pavilon 510-p136 intel core i7-6700t 12gb 2tb hdd win 10 desktop,239.0,used,,missing,12.0,,,hp,missing,2000.0,hdd,core,i7-6700t,,,1,windows
47,"microsoft surface book 13.5"" - i5 gen 6, 8gb ram, 256gb nvme",134.99,used,13.5,silver,8.0,256.0,2.4,microsoft,3000x2000,,ssd,intel,core,i5,6.0,0,no os
48,dell g3 3579 15.6'' i7-8750h 2.20ghz 8gb 1tb+ 128gb ssd gtx 1050 ti (a03013985),299.99,used,15.6,missing,,,,dell,missing,,missing,intel,core,i7,8.0,0,missing
49,"hp elite x2 g4 core i5-8265u 1.60ghz 8gb 256gb ssd bt-wlan 12.3""fhd w10p",424.99,used,12.3,missing,8.0,256.0,1.6,hp,1920x1080,,ssd,intel,core,i5,8.0,1,windows
50,"microsoft surface laptop go, 9.5"" touchscreen, 8gb, wifi 4g, with pencil",131.5,used,9.5,blue,8.0,128.0,1.0,microsoft,1536x1024,8.0,ssd,intel,core,i5,10.0,1,windows
51,"lenovo 300e chromebook 2nd gen 81mb004eus 11.6""",45.0,used,11.6,black,4.0,32.0,,lenovo,missing,32.0,ssd,intel,celeron,,,0,chrome os
52,"hp elitebook 8470p with 16 gb ram, 256 gb nvme ssd, win 10 pro, dvd writer",55.0,used,14.0,silver,16.0,256.0,2.6,hp,missing,256.0,ssd,intel,core,i5,3.0,0,windows
53,"lg 14"" gram - 512 gb - priced to sell",300.0,used,14.0,missing,,,,lg,missing,512.0,missing,intel,core,i5,12.0,0,missing
54,"hp pavilion 15-cs0064st i7 1.8/4.0ghz, 16gb ,256g ssd,cam,backlit,win10,fhd1920",227.77,used,15.6,missing,16.0,256.0,1.8,hp,missing,16.0,ssd,intel,core,i7,8.0,0,windows
55,getac k120 i5 rugged tablet laptop 2 in 1 with detachable keyboard msrp $4044,560.0,used,12.5,gray,16.0,256.0,3.4,getac,1920x1080,256.0,ssd,intel,core,i5,8.0,0,windows
56,dell latitude 3550 intel core i5-5200u @2.20ghz 4gb ram 500gb ssd win-10pro*read,69.99,used,15.6,black,4.0,500.0,2.2,dell,1366x768,,ssd,intel,core,i5,5.0,1,windows
57,"lenovo thinkpad x1 yoga gen 1 14"" i7-6600u @ 2.6ghz 16gb 256gb win10home *used*",104.99,used,14.0,black,16.0,256.0,2.6,lenovo,2560x1440,,ssd,intel,core,i7,6.0,1,windows
58,panasonic toughbook cf-54 i7 7th gen 16gb 512gb ssd lte rugged laptop,410.0,used,14.0,missing,16.0,512.0,2.8,panasonic,missing,512.0,ssd,intel,core,i7,7.0,0,windows
